loan_id,as_of_date,default_flag,annual_income,debt_to_income,loan_amount,interest_rate,term_months,employment_length,credit_history_length,region,fairness_group
ln_d5b01d75858b,2024-03-31,0,55821.06,26.56,6402.17,15.179,36,3-5y,10.53,south,A
ln_fae439ccf4c0,2024-03-31,0,55550.94,16.44,17954.62,7.862,36,1-3y,14.52,north,A
ln_80bf1495c0e1,2024-03-31,1,99308.03,21.55,12608.26,8.25,36,3-5y,16.82,north,A
ln_e80b192e8a53,2024-03-31,0,35371.15,20.42,5603.59,8.952,36,10y+,12.87,north,B
ln_f607fd5144a3,2024-03-31,0,106090.23,33.44,18094.0,14.738,36,1-3y,12.59,north,B
ln_fedb0675ae9b,2024-03-31,0,117016.56,13.34,24364.52,14.086,36,1-3y,10.8,west,A
ln_8ab875a236c1,2024-03-31,0,91501.91,17.12,17270.91,13.302,60,3-5y,8.86,north,B
ln_9a2720fca733,2024-03-31,0,79950.43,17.98,16013.7,10.227,36,3-5y,17.62,east,B
ln_4e1dfd9135c0,2024-03-31,1,158460.83,13.06,10631.66,8.93,36,5-10y,9.6,north,B
ln_2765c4d0fa2c,2024-03-31,0,59174.5,13.35,4546.04,9.044,36,3-5y,11.46,north,A
ln_7375cf4ae5b3,2024-03-31,0,76320.08,20.61,8399.4,9.594,36,<1y,4.75,north,A
ln_b92d1e7c1f9a,2024-03-31,0,78278.75,16.97,10950.25,8.324,36,1-3y,13.23,east,A
ln_7dec2abd78ab,2024-03-31,0,37804.75,28.79,17934.24,12.377,60,5-10y,25.18,east,A
ln_bea11ed594fb,2024-03-31,0,89216.9,22.66,16243.22,13.885,36,5-10y,13.67,east,B
ln_b9d1c215a1a1,2024-03-31,1,53597.61,28.4,14216.55,14.69,60,5-10y,11.96,south,A
ln_38126e508c1e,2024-03-31,0,73913.34,16.16,17054.58,11.303,36,<1y,5.16,west,A
ln_0313f4c29516,2024-03-31,0,170573.65,15.74,18643.59,9.095,60,<1y,21.17,west,A
ln_623040aec63a,2024-03-31,0,88037.1,23.72,14521.97,14.031,36,10y+,19.79,west,B
ln_7ae9f7ff8d5f,2024-03-31,0,33670.97,19.35,10019.67,11.222,60,3-5y,17.98,east,B
ln_56399e0e87ef,2024-03-31,0,53218.15,22.77,30534.32,15.525,60,<1y,9.61,south,A
ln_ea6996491894,2024-03-31,0,78139.7,20.01,8084.51,11.221,36,1-3y,13.54,east,A
ln_256cb6f8377d,2024-03-31,0,90374.33,23.74,7632.09,14.442,36,3-5y,10.79,west,A
ln_36b071049cf8,2024-03-31,0,35220.78,0.51,23151.97,8.611,60,1-3y,6.71,north,B
ln_625748fab50c,2024-03-31,0,54947.47,25.77,7206.47,14.505,60,<1y,5.55,north,B
ln_418f07466228,2024-03-31,0,61706.34,18.04,4974.89,10.671,60,10y+,14.3,north,A
ln_6f5407888f9b,2024-03-31,0,47784.01,21.25,25575.87,12.038,36,1-3y,23.81,north,B
ln_e17fa9110ae7,2024-03-31,0,76634.78,25.23,15166.72,9.143,36,1-3y,13.22,south,A
ln_c99484b17e7d,2024-03-31,1,122780.77,29.25,12752.76,16.161,36,1-3y,13.53,north,B
ln_74d62ef6b23e,2024-03-31,0,57501.18,31.09,7660.76,13.434,36,10y+,9.62,north,A
ln_4dab0f8da2a2,2024-03-31,0,88622.59,15.3,35457.42,9.107,36,5-10y,17.26,east,A
ln_05e140311a2d,2024-03-31,0,53331.26,19.8,15613.48,11.116,36,5-10y,14.47,east,A
ln_7f3083f776c3,2024-03-31,0,86513.95,26.61,37688.22,13.638,36,<1y,11.25,south,B
ln_435f4e4e2a52,2024-03-31,0,50858.99,36.51,52709.8,17.824,36,1-3y,18.51,south,A
ln_8aca27052935,2024-03-31,0,64886.25,32.19,17515.55,15.75,36,1-3y,9.32,east,B
ln_21895e2c4642,2024-03-31,0,65096.22,13.66,12784.8,5.567,36,1-3y,11.88,west,B
ln_e8cfa8f7394e,2024-03-31,0,63697.59,11.02,13440.97,11.053,60,1-3y,8.76,north,A
ln_b9d002c23dd3,2024-03-31,0,108687.81,11.78,20658.34,11.699,60,1-3y,8.03,west,B
ln_7169e07390a7,2024-03-31,0,125805.93,18.92,11950.65,7.681,36,<1y,17.42,south,A
ln_97d169572d58,2024-03-31,1,84241.08,42.44,15645.75,20.091,36,1-3y,8.58,east,A
ln_32d5a2d8a400,2024-03-31,0,76526.76,10.68,21360.95,9.944,36,<1y,10.45,south,A
ln_d114013c65d1,2024-03-31,0,40086.65,19.78,11485.69,12.528,36,1-3y,10.76,east,B
ln_130aae1b0319,2024-03-31,0,49623.38,26.27,15900.04,17.451,36,5-10y,15.42,south,A
ln_6c7a043d499a,2024-03-31,0,75588.46,16.18,20304.05,11.043,36,1-3y,19.58,south,A
ln_fe22b71de058,2024-03-31,0,55808.96,10.56,9174.17,10.24,36,3-5y,10.68,east,A
ln_dcbc37728864,2024-03-31,0,71655.8,18.6,11760.55,11.684,36,5-10y,11.33,west,A
ln_35ef2dce4998,2024-03-31,0,63767.05,36.07,6541.29,15.298,36,5-10y,10.34,west,B
ln_2873dfd0d638,2024-03-31,0,82264.29,19.98,11588.46,11.249,60,10y+,23.03,east,A
ln_0441b42df26b,2024-03-31,0,85387.15,18.09,17297.05,12.156,36,10y+,8.45,east,A
ln_5b718a48742f,2024-03-31,0,62761.99,11.97,8553.24,8.456,36,3-5y,21.22,west,B
ln_8e0e25a226e5,2024-03-31,0,81096.45,22.98,8749.4,12.409,60,1-3y,13.33,south,B
ln_9c629af85acf,2024-03-31,0,44800.19,37.04,13813.45,15.225,36,10y+,15.98,south,A
ln_8eadf0bbc12b,2024-03-31,0,90721.6,25.22,6255.85,17.113,36,<1y,4.76,north,A
ln_f43b1919379b,2024-03-31,0,42710.18,16.86,13674.95,10.161,60,5-10y,16.67,north,B
ln_a869fa2aa8d7,2024-03-31,0,131484.2,7.52,21685.6,8.196,36,5-10y,23.93,south,A
ln_185e3866da6d,2024-03-31,0,107352.4,13.91,13502.79,8.528,36,10y+,19.89,south,B
ln_96867a0df0e7,2024-03-31,0,60622.1,27.74,54034.78,15.159,36,5-10y,13.85,north,B
ln_b43c0ff35138,2024-03-31,0,81593.94,18.97,20446.54,9.273,60,5-10y,14.75,north,B
