loan_id,as_of_date,default_flag,annual_income,debt_to_income,loan_amount,interest_rate,term_months,employment_length,credit_history_length,region,fairness_group
ln_8fcddf35dbd2,2024-06-30,0,30465.98,31.19,18585.7,18.603,60,1-3y,11.47,east,B
ln_13a98538fb4e,2024-06-30,0,36848.17,20.96,15647.89,14.259,36,<1y,12.73,east,B
ln_679e0edb3067,2024-06-30,0,100255.32,0.5,8719.65,5.299,60,1-3y,10.18,east,B
ln_c2a597f6f284,2024-06-30,0,55380.65,9.22,30701.97,9.032,36,1-3y,23.27,south,B
ln_1ea671c3cdb2,2024-06-30,1,127077.22,31.65,12711.41,14.158,36,1-3y,10.02,east,A
ln_568b4da8dc13,2024-06-30,0,43728.27,8.39,8513.34,10.491,60,<1y,18.39,south,B
ln_2126de42a105,2024-06-30,0,40311.59,19.57,11543.85,12.027,36,3-5y,29.91,north,A
ln_6d486b9a5411,2024-06-30,0,127127.29,15.72,43399.69,9.33,36,5-10y,9.81,south,A
ln_fa29766fdba9,2024-06-30,0,57003.14,30.12,20488.0,12.631,36,10y+,18.23,east,A
ln_39248c2dac7d,2024-06-30,0,28117.0,27.31,13530.19,14.176,36,1-3y,15.66,north,A
ln_5e23eb38a9ad,2024-06-30,1,74285.35,31.2,21398.96,17.346,36,1-3y,6.78,south,A
ln_eae3494e4fe0,2024-06-30,1,105926.85,35.44,23089.61,15.35,36,5-10y,13.08,north,A
ln_58b58d1eead7,2024-06-30,0,46951.96,34.23,19400.95,18.209,36,5-10y,9.69,west,A
ln_3af96806729b,2024-06-30,0,94447.82,23.34,7731.58,14.204,36,5-10y,10.01,south,B
ln_23c6a523e98c,2024-06-30,0,87909.59,11.56,34774.3,9.351,36,10y+,15.51,west,A
ln_5c6edbe71102,2024-06-30,0,44514.79,8.67,20347.99,7.191,36,10y+,15.42,west,A
ln_dc3f7fecdca5,2024-06-30,0,20829.2,18.25,18088.48,13.089,60,5-10y,13.48,north,A
ln_61efd747f484,2024-06-30,0,91142.83,17.27,14147.77,11.132,36,3-5y,8.0,east,B
ln_7343fe6abaa9,2024-06-30,0,43433.41,24.67,12770.25,13.69,36,5-10y,11.8,north,B
ln_5faf827eaa5a,2024-06-30,0,69242.66,15.77,6894.94,9.149,36,5-10y,10.82,east,A
ln_fc3eaffce95c,2024-06-30,0,99410.2,15.63,13785.75,11.392,36,3-5y,7.65,south,A
ln_75b9ed43bd2d,2024-06-30,0,24810.54,18.49,12393.42,9.758,36,10y+,17.99,east,B
ln_5831c5038ef3,2024-06-30,0,28479.2,24.87,7853.66,10.843,60,1-3y,9.8,south,A
ln_5e4cb3754722,2024-06-30,0,60515.95,16.68,11545.45,10.795,36,1-3y,16.0,south,B
